"condition","product_choice","bi_women","price_fairness","similarity","cost_women","cost_men","age","income","mc_justification","feedback"
"1","1",1,3,6,2,2,57,300,"I believe it just said men's shampoo or women's shampoo is selling for $13.99 and that you can get very clean hair.",NA
"1","1",0,4.625,7,7,7,31,2560,"The shampoo for both men and woman was made for all hair types.",NA
"1","1",4,5.75,5,4,1,31,10000,"They were both shampoos that were meant to cleanse but the men’s was “invigorating”",NA
"1","1",4,5.875,5,8.99,7.99,26,55000,"I recall the women's shampoo cleansing and revitalizing your hair and the men's shampoo cleansing and invigorating your hair. They are both the same price.","Hi there I did my yearly income instead of monthly, I apologize. My monthly income is around 4500, but varies depending on sales and the commission I earn. Thank you for understanding!"
"1","1",2,3,6,5,5,66,2500,"revitalize",NA
"1","1",3,4.5,7,3,3,32,30000,"Please recall the product descriptions and type as much of what you remember as you can in the following box:

Women's shampoo: 25 fluid ounce, $13.99, described as specially formulated to cleanse and revitalize all hair types.
Men's shampoo: 25 fluid ounce, $13.99, described as designed to cleanse and invigorate all types of hair.",NA
"1","1",3,4.875,6,11,11,52,180000,"A shampoo that revitalizes all hair types.","No comments."
"1","1",2,2.625,7,0.5,0.5,51,2600,"Both shampoos where the same size, 24 fl, and the same price, 13.99.  The only apparent difference was one was called ""Men's Shampoo"" and the other ""Women's""",NA
"1","3",0,1.125,7,5,4,56,12500,"Both product descriptions indicated that the shampoo was designed to cleanse all hair types.","I do not have any feedback."
"1","1",5,1,7,2,2,64,1340,"They revitalize hair.","everything worked well"
"1","3",4,2.125,4,2,2,63,5000,"Good for all hair types",NA
"1","1",2,6.5,5,2,2,32,49900,"Women shampoo  formulated to cleanse and revitalize all hair types. And Men's shampoo cleanse and invigorate all types of hair","good"
"1","1",6,3,4,3,3,57,50000,"womens shampoo and mens shampoo, both $13.99",NA
"1","3",0,6.5,7,5,5,68,128000,"both can clean hair",NA
"1","1",2,6.5,5,4,4,40,3500,"Women's shampoo - Revitalizing
Men's shampoo - Invigorating",NA
"1","1",3,5.375,3,2,2,33,6000,"women and men shampoo",NA
"1","1",1,4.75,6,4,4,34,4200,"Specifically formulated for hair",NA
"1","1",6,5.75,3,10.99,10.99,25,4500,"They were both selling for $13.99 with promises of improving hair quality","None"
"1","1",1,3,3,2.5,2.5,39,14500,"women's shampoo said cleanse and revitalize, mens said cleanse and invigorate",NA
"1","1",6,3.5,1,2,2,29,100,"I don't remember. They were generic shampoo descriptions saying its for all types of hair.","Im unemployed. My income is only what I make on Prolific. Thats why the amount was so low in the previous question."
"1","1",6,4.875,1,7,7,32,4000,"For the women shampoo it is specially formulated to cleanse and revitalize all hair types and for men, cleanse and invigorate all types of hair.","No comment."
"1","3",0,4,4,7,7,54,8000,"Both shampoos said they were for all hair types.","Thank you"
"1","2",-2,5.25,3,13,8,35,59800,"Two identical shampoos, split by gendered language; 'revitalize' for women, 'invirogate' for men. Same product, different story.","I enjoyed the study."
"1","1",0,2,4,1,1,56,1500,"The men's was to revitalize all hair types, the woman's hhhmm I think was also for all hair types",NA
"1","1",4,6,6,3,3,37,3800,"Specially formulated to help reinvigorate hair",NA
"1","1",4,6,5,8,8,36,25000,"Women and Men shampoo",NA
"1","1",3,4,4,2,2,35,2500,"there was men and woman shampoo for 13.99",NA
"1","2",-4,6.5,1,13.99,13.99,39,39000,"the shampoo was made fpor both men and women,had also same price the difference was that for women it would revitalize while for men it would invigorate","no comment"
"1","1",2,4.125,7,2,2,53,88000,"the shampoo cleanses and revitalizes the hair","Really did not understand the survey as the only difference in product was it was for women or men."
"1","3",3,3.5,7,4.2,4.2,64,1500,"The price of 13.99? Also, to clean and invigorate and revitalize.",NA
"1","1",3,5.375,5,4,4,52,3000,"I remember the product descriptions were pretty much the same except one was for men and one was for women and one said the product was revitalizing while the other said it was invigorating.","No feedback, thank you!"
"1","3",0,2.125,7,2,2,46,20000,"One said revitalize and one said invigorate, both were the same price, one was for men and one was for women, helped all hair types","No additional feedback, thank you"
"1","3",0,1.25,6,3,3,44,1000,"One said that it revitalizes all types of hair & i think the other said it invigorates all types of hair.",NA
"1","1",4,5.5,6,3,3,37,4000,"The shampoo has been created to clean all types of hair.",NA
"1","1",4,4.875,6,7,7,32,2300,"Both shampoos can be used by women and me and they help the in hair growth",NA
"1","1",3,4.25,4,5,5,37,34000,"13.99","N/A"
"1","1",3,3.625,3,3.5,2.5,36,39000,"Men and Women's shampoo 25 oz for 13.99",NA
"1","1",3,1,6,1,1,31,50,"One invigorated and one revitalized, both cleansed.",NA
"1","1",6,6.5,4,13,13,31,4000,"The women's shampoo was formulated to cleanse and revitalize all hair types","All was well"
"1","1",6,6.5,1,8,8,42,5000,"I am in a store and I am buying shampoo. I see two products, both are 25 Fluid Ounce and have the same price of $13.99. The difference is that, one is men's shampoo while the other is women's shampoo.","All good. Thank you."
"1","1",4,3.75,5,3,3,33,40000,"Both product descriptions stated that they were 13.99, 25 ounces and revitalized all hair types.","Thank you!"
"1","1",0,6,6,6.5,13,38,300,"men
woman
shampoo
",NA
"1","1",4,6.625,6,4,4,41,150000,"Women's shampoo:
This shampoo has been designed to cleanse and refresh all hair types.

Men's shampoo:
This shampoo is specially formulated to cleanse and refresh all hair types.","N/A"
"1","2",-4,4.25,7,3,3,63,3000,"25 ounces, $13.99 per bottle for both men's and women's, high quality ingredients, descriptions were identical for both versions","none"
"1","1",6,5.25,7,10,10,34,3e+05,"women's shampoo for all hair types price 13.99$ men's shampoo for all hair types 13.99$",NA
"1","1",1,3,6,5,5,40,4000,"The women's was 25 ounce bottle for $13.99 for all hair types.  It would cleanse and revitalize the hair.   The men's was 25 ounce bottle for $13.99 for all hair types.  It would cleanse and invigorate the hair.",NA
"1","1",3,6.75,7,8,8,25,1500,"That they both clean and cleanse your hair..","No"
"1","1",1,6.875,7,5,5,50,8500,"Men’s and women’s shampoos, both $13.99",NA
"1","1",6,7,7,5,5,33,35000,"Both shampoos stated that they clean and revitalize all hair types.",NA
"1","1",2,3.125,7,5,5,50,5000,"Mens and womans shampoo for all hair types for 13.99.",NA
"1","1",1,2.375,4,4,4,39,1100,"One was for females one was for Male",NA
"1","1",6,3.25,6,1.75,1.75,63,5700,"Each said the shampoo was formulated for women or men seperately","I would buy the women shampoo over the men shampoo only because I think the scent might be different. Otherwise I think they are probably the exact same shampoo."
"1","3",2,1,3,0.5,0.2,33,950,"Shampoo to revitalized hair for all types.","Nothing comes to mind other than I'm a cheap person."
"1","1",5,2.375,5,2,2,38,2000,"The women's shampoo is formulated to cleanse and revitalize hair. The men's shampoo is formulated to cleanse and invigorate hair.",NA
"1","1",5,7,7,6,6,44,300,"I only remember it was almost 14 dollars.",NA
"1","1",5,5.5,7,6,6,53,6000,"cleansing shampoo for all hair types, cost is $12.99",NA
"1","1",4,3.75,6,2,2,49,5500,"The only difference in the product description was the mens product was invigorating vs women's product was revitalizing.",NA
"1","1",2,6.25,6,10,10,31,6000,"the men shampoo is good for all types of hair and invigorating
the women shampoo is to wash all hair types and also revitalizing",NA
"1","1",3,4,4,3,3,50,6200,"Both the mens shampoo cleansed and invigorated hair",NA
"1","3",0,2.5,6,2,2,69,7500,"it said it was good on all types of hair for both products - but one said women's and one said men's - didn't indicate why they were labeled as for men or as for women",NA
"1","1",6,6,2,8,8,25,13000,"The women's shampoo was cleansing and revitalizing and the men's shampoo was cleaning and invigorating.","no additional comment"
"1","1",2,2.875,6,4,4,55,65000,"Women's shampoo-specially formulated to cleanse and revitalize hair for all hair types. Men's shampoo--made to cleanse and invigorate hair for all types of hair.",NA
"1","1",6,7,3,4,3,32,50000,"They were 25 fluid ounce bottles of shampoo and they both cost $13.99",NA
"1","1",4,3,6,4,4,41,1400,"The women's shampoo said it was cleansing and revitalizing, while the men's shampoo said it was cleansing and invigorating. I think that was the only difference between them. They both had the same price, which I believe was 13.99.",NA
"1","1",4,5,3,5.5,5.5,50,800,"women- cleanse and revitalize hair
men - cleanse and invigorate hair",NA
"1","3",0,2.25,7,8,8,39,4000,"Cleansing, same price, same exact description","Thank you"
"1","1",2,2,7,5,5,25,3000,"Women’s shampoo: specifically formulated to cleanse and revitalize all hair types 

Men’s shampoo: specifically formulated to cleanse and invigorate all hair types.","N/A"
"1","1",4,4.625,3,5,5,26,3400,"I don’t remember much. I just tend to go for the women’s product as I do not like men’s shampoos.",NA
"1","3",2,3.125,5,2,2,31,2000,"Suitable for all hair types",NA
"1","3",2,2.875,5,3,3,39,2000,"Womens 25 oz 13.99 cleanse and revitalize
Men's 25 oz 13.99 cleanse and invigorate",NA
"1","1",1,2.125,4,4,4,48,6000,"Leave hair feeling soft",NA
"1","1",6,3,4,2,2,22,1,"Women's had revitalizing and men's had cleansing",NA
