StartDate,EndDate,Status,IPAddress,Progress,Duration (in seconds),Finished,RecordedDate,ResponseId,RecipientLastName,RecipientFirstName,RecipientEmail,ExternalReference,LocationLatitude,LocationLongitude,DistributionChannel,UserLanguage,consent_yn,attention_check,women_price,women_unit,men_price,men_unit,women_price,women_unit,men_price,men_unit,women_price,women_unit,men_price,men_unit,women_price,women_unit,men_price,men_unit,women_price,women_unit,men_price,men_unit,women_price,women_unit,men_price,men_unit,women_price,women_unit,men_price,men_unit,bi_binary,bi_women_1,bi_men_1,price_fairness_1,price_fairness_2,price_fairness_3,price_fairness_4,price_fairness_5,price_fairness_6,price_fairness_7,price_fairness_8,similarity_1,prosociality_1,prosociality_2,value_alignment_1,value_alignment_2,gender_equality_1,gender_equality_2,gender_equality_3,gender_equality_4,price_sensitivity_1,price_sensitivity_2,price_sensitivity_3,price_sensitivity_4,mc_price,mc_justification,ce_control_women,ce_control_men,ce_pt_women,ce_pt_men,age,income,feedback,PROLIFIC_PID,STUDY_ID,SESSION_ID,MainCondition
Start Date,End Date,Response Type,IP Address,Progress,Duration (in seconds),Finished,Recorded Date,Response ID,Recipient Last Name,Recipient First Name,Recipient Email,External Data Reference,Location Latitude,Location Longitude,Distribution Channel,User Language,"By clicking “Agree�?below, you confirm that you have read the consent form, are at least 18 years old, and agree to participate in the research. Please print or save a copy of this page for your records.","Survey on Laptop Consumption

Below is a question related to laptop consumption. Please read the question and select one answer. In order to demonstrate that you have read these instructions, please select 200,000 as your answer to the question below. Failure to do so will disqualify you from taking this survey. Please be assured that we will keep your answer confidential. Thank you for your participation.



How many laptops are bought every year in the US?",Please type the product price of women's shampoo you've seen above (in US$):,Please type the unit price of women's shampoo (per ounce) you've seen above (in US$):,Please type the product price of men's shampoo you've seen above (in US$):,Please type the unit price of men's shampoo (per ounce) you've seen above (in US$):,Please type the product price of women's shampoo you've seen above (in US$):,Please type the unit price of women's shampoo (per ounce) you've seen above (in US$):,Please type the product price of men's shampoo you've seen above (in US$):,Please type the unit price of men's shampoo (per ounce) you've seen above (in US$):,Please type the product price of women's shampoo you've seen above (in US$):,Please type the unit price of women's shampoo (per ounce) you've seen above (in US$):,Please type the product price of men's shampoo you've seen above (in US$):,Please type the unit price of men's shampoo (per ounce) you've seen above (in US$):,Please type the product price of women's shampoo you've seen above (in US$):,Please type the unit price of women's shampoo (per ounce) you've seen above (in US$):,Please type the product price of men's shampoo you've seen above (in US$):,Please type the unit price of men's shampoo (per ounce) you've seen above (in US$):,Please type the product price of women's shampoo you've seen above (in US$):,Please type the unit price of women's shampoo (per ounce) you've seen above (in US$):,Please type the product price of men's shampoo you've seen above (in US$):,Please type the unit price of men's shampoo (per ounce) you've seen above (in US$):,Please type the product price of women's shampoo you've seen above (in US$):,Please type the unit price of women's shampoo (per ounce) you've seen above (in US$):,Please type the product price of men's shampoo you've seen above (in US$):,Please type the unit price of men's shampoo (per ounce) you've seen above (in US$):,Please type the product price of women's shampoo you've seen above (in US$):,Please type the unit price of women's shampoo (per ounce) you've seen above (in US$):,Please type the product price of men's shampoo you've seen above (in US$):,Please type the unit price of men's shampoo (per ounce) you've seen above (in US$):,Suppose the only options available for purchase were the two products described above. Which of the following options would you choose?,Please indicate your interest in buying the women's shampoo: - I would like to buy this women’s shampoo for my shopping,Please indicate your interest in buying the men's shampoo: - I would like to buy this men’s shampoo for my shopping,Please rate your degree of disagreement or agreement with each of the statements below: - I think the prices listed above are justified,Please rate your degree of disagreement or agreement with each of the statements below: - I think the prices listed above are fair,Please rate your degree of disagreement or agreement with each of the statements below: - I think the prices listed above are right,Please rate your degree of disagreement or agreement with each of the statements below: - I think the prices listed above are acceptable,Please rate your degree of disagreement or agreement with each of the statements below: - I think the prices listed above are unreasonable,Please rate your degree of disagreement or agreement with each of the statements below: - I think the prices listed above are unfair,Please rate your degree of disagreement or agreement with each of the statements below: - I think the prices listed above are unacceptable,Please rate your degree of disagreement or agreement with each of the statements below: - I think the prices listed above are questionable,"How similar do you perceive the product characteristics of the women's shampoo and men's shampoo to be, given the product descriptions shown earlier? - I think the women's shampoo and the men's shampoo are:","How prosocial do you perceive the brands of the women's shampoo and men's shampoo to be, given the product descriptions shown earlier? - I think the women's shampoo brand  is","How prosocial do you perceive the brands of the women's shampoo and men's shampoo to be, given the product descriptions shown earlier? - I think the men's shampoo brand  is","How much do you perceive the brands of the women's shampoo and men's shampoo as supporting your values, given the product descriptions shown earlier? - I think the women's shampoo brand :","How much do you perceive the brands of the women's shampoo and men's shampoo as supporting your values, given the product descriptions shown earlier? - I think the men's shampoo brand :",Please rate your degree of disagreement or agreement with each of the statements below: - Men and women should have equal opportunities in all aspects of life,Please rate your degree of disagreement or agreement with each of the statements below: - Gender-based product differentiation is unnecessary when products serve the same function,Please rate your degree of disagreement or agreement with each of the statements below: - Companies should treat male and female consumers equally in their product offerings,Please rate your degree of disagreement or agreement with each of the statements below: - Gender stereotypes in marketing are problematic,"Please rate your degree of disagreement or agreement with each of the statements below: - In general, the price or cost of buying products is important to me",Please rate your degree of disagreement or agreement with each of the statements below: - I don't mind spending a lot of money to buy a product,"Please rate your degree of disagreement or agreement with each of the statements below: - I know that a new kind of product is likely to be more expensive than older ones, but that doesn't matter to me",Please rate your degree of disagreement or agreement with each of the statements below: - I am less willing to buy a product if I think that it will be high in price,"In the two shampoo product descriptions you read about earlier, which product had the highest unit price (price per ounce)?",Please recall the product descriptions and type as much of what you remember as you can in the following box:,How much do you think it costs the manufacturer to produce one bottle of the women's shampoo? (in US$),How much do you think it costs the manufacturer to produce one bottle of the men's shampoo? (in US$),How much do you think it costs the manufacturer to produce one bottle of the women's shampoo? (in US$),How much do you think it costs the manufacturer to produce one bottle of the men's shampoo? (in US$),Please provide your age (number of years old):,Please indicate your monthly income (in US$):,"Finally, please leave any feedback you might have in the box below. Thank you for participating in this study!",PROLIFIC_PID,STUDY_ID,SESSION_ID,MainCondition
"{""ImportId"":""startDate"",""timeZone"":""America/Denver""}","{""ImportId"":""endDate"",""timeZone"":""America/Denver""}","{""ImportId"":""status""}","{""ImportId"":""ipAddress""}","{""ImportId"":""progress""}","{""ImportId"":""duration""}","{""ImportId"":""finished""}","{""ImportId"":""recordedDate"",""timeZone"":""America/Denver""}","{""ImportId"":""_recordId""}","{""ImportId"":""recipientLastName""}","{""ImportId"":""recipientFirstName""}","{""ImportId"":""recipientEmail""}","{""ImportId"":""externalDataReference""}","{""ImportId"":""locationLatitude""}","{""ImportId"":""locationLongitude""}","{""ImportId"":""distributionChannel""}","{""ImportId"":""userLanguage""}","{""ImportId"":""QID2""}","{""ImportId"":""QID4""}","{""ImportId"":""QID33_TEXT""}","{""ImportId"":""QID35_TEXT""}","{""ImportId"":""QID34_TEXT""}","{""ImportId"":""QID36_TEXT""}","{""ImportId"":""QID37_TEXT""}","{""ImportId"":""QID38_TEXT""}","{""ImportId"":""QID39_TEXT""}","{""ImportId"":""QID40_TEXT""}","{""ImportId"":""QID41_TEXT""}","{""ImportId"":""QID42_TEXT""}","{""ImportId"":""QID43_TEXT""}","{""ImportId"":""QID44_TEXT""}","{""ImportId"":""QID45_TEXT""}","{""ImportId"":""QID46_TEXT""}","{""ImportId"":""QID47_TEXT""}","{""ImportId"":""QID48_TEXT""}","{""ImportId"":""QID49_TEXT""}","{""ImportId"":""QID50_TEXT""}","{""ImportId"":""QID51_TEXT""}","{""ImportId"":""QID52_TEXT""}","{""ImportId"":""QID53_TEXT""}","{""ImportId"":""QID54_TEXT""}","{""ImportId"":""QID55_TEXT""}","{""ImportId"":""QID56_TEXT""}","{""ImportId"":""QID57_TEXT""}","{""ImportId"":""QID58_TEXT""}","{""ImportId"":""QID59_TEXT""}","{""ImportId"":""QID60_TEXT""}","{""ImportId"":""QID14""}","{""ImportId"":""QID12_1""}","{""ImportId"":""QID13_1""}","{""ImportId"":""QID15_1""}","{""ImportId"":""QID15_2""}","{""ImportId"":""QID15_3""}","{""ImportId"":""QID15_4""}","{""ImportId"":""QID15_5""}","{""ImportId"":""QID15_6""}","{""ImportId"":""QID15_7""}","{""ImportId"":""QID15_8""}","{""ImportId"":""QID16_1""}","{""ImportId"":""QID29_1""}","{""ImportId"":""QID29_2""}","{""ImportId"":""QID32_1""}","{""ImportId"":""QID32_2""}","{""ImportId"":""QID30_1""}","{""ImportId"":""QID30_2""}","{""ImportId"":""QID30_3""}","{""ImportId"":""QID30_4""}","{""ImportId"":""QID31_1""}","{""ImportId"":""QID31_2""}","{""ImportId"":""QID31_3""}","{""ImportId"":""QID31_4""}","{""ImportId"":""QID18""}","{""ImportId"":""QID19_TEXT""}","{""ImportId"":""QID21_TEXT""}","{""ImportId"":""QID22_TEXT""}","{""ImportId"":""QID24_TEXT""}","{""ImportId"":""QID25_TEXT""}","{""ImportId"":""QID26_TEXT""}","{""ImportId"":""QID27_TEXT""}","{""ImportId"":""QID28_TEXT""}","{""ImportId"":""PROLIFIC_PID""}","{""ImportId"":""STUDY_ID""}","{""ImportId"":""SESSION_ID""}","{""ImportId"":""MainCondition""}"
2025/8/9 12:05,2025/8/9 12:11,1,,100,365,1,2025/8/9 12:11,R_3EXQMIllILjN1Kx,,,,,41.8018,-87.5993,preview,EN,1,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,4,6,6,6,5,6,2,2,1,3,6,5,4,5,5,6,6,5,7,6,4,3,6,1,test,,,10,10,33,10000,test,,,,2
2025/8/9 12:13,2025/8/9 12:15,1,,100,107,1,2025/8/9 12:15,R_34tdEoEfo4FEqbL,,,,,41.8018,-87.5993,preview,EN,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2025/8/9 12:16,2025/8/9 12:21,1,,100,289,1,2025/8/9 12:21,R_3ASRE6HR1N238ZG,,,,,41.8018,-87.5993,preview,EN,1,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,5,7,6,6,6,6,2,2,2,2,6,4,4,5,5,6,6,6,6,6,4,2,6,3,test,10,11,,,44,12,test,,,,1
2025/8/9 12:28,2025/8/9 12:30,0,174.20.140.238,100,163,1,2025/8/9 12:30,R_6KUtVvnVSxsOZ7X,,,,,44.9399,-93.2548,anonymous,EN,1,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,7,1,2,2,2,2,5,6,6,6,3,6,3,6,3,7,7,7,7,7,1,2,7,1,"The shampoos had different ingredients, with the men's shampoo being more focused on simply cleaning and reinvigorating the scalp, and the women's shampoo having more additional ingredients.",,,10,7,24,2500,,5efec82cf597a73e75e3fbe0,68978cff1781f97e87b044a1,689793309511899d24bcaa2c,3C
2025/8/9 12:28,2025/8/9 12:32,0,136.35.176.34,100,249,1,2025/8/9 12:32,R_5nVGGjdOFdFCGUZ,,,,,39.2102,-94.6372,anonymous,EN,1,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,5,4,3,4,4,5,3,4,3,5,4,4,3,4,4,7,7,7,7,5,4,6,5,1,"The women's shampoo had a floral scent, while the men's didn't.  The women's shampoo was more expensive.",,,4,3,61,8167,I happen to like floral scented shampoo.  But generally I hate gendered marketing of products.,65411f38ee4b823f368ef105,68978cff1781f97e87b044a1,689793294eb33faff044c926,3D
2025/8/9 12:28,2025/8/9 12:32,0,76.11.181.51,100,246,1,2025/8/9 12:32,R_3COuR8czfbgpWQE,,,,,38.1298,-87.935,anonymous,EN,1,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,6,1,5,6,5,6,2,2,2,2,5,5,5,4,4,7,7,7,7,7,2,3,6,1,Deeply cleansing for all hair types,,,5,5,55,3500,,648868ab86c65ebe29777662,68978cff1781f97e87b044a1,689793387c0ac2851ec282d5,3A
2025/8/9 12:28,2025/8/9 12:33,0,73.206.112.50,100,285,1,2025/8/9 12:33,R_3O63f8w3D2YGWMz,,,,,29.65,-95.1485,anonymous,EN,1,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,7,1,5,5,7,6,1,1,1,2,5,7,1,7,1,7,1,7,1,7,5,6,2,3,shampoo for women and they support women's empowerment and men's shampoo and I think both were 13.99,,,5,5,37,3333,"none, tysm!",5c8db07eb1f89a0016777fe0,68978cff1781f97e87b044a1,6897934a6ba0923913bff515,3E
2025/8/9 12:30,2025/8/9 12:33,0,98.24.121.76,100,184,1,2025/8/9 12:33,R_7j7B3W0f5p3Vd4N,,,,,35.2416,-81.2181,anonymous,EN,1,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,2,2,6,6,5,7,2,2,2,3,5,4,4,4,4,7,6,7,5,6,3,4,5,3,women's shampoo has extra nourishing ingredients,,,2,2,40,1000,,610e6880f784d836a872a9a5,68978cff1781f97e87b044a1,689793a9a00eba2e7e20b288,3C
